Gender,Age,BodyGoal,ProblemAreas,Height_cm,Weight_kg,FitnessLevel,WorkoutDaysPerWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Male,18.0,Lose Weight,Big Belly,171,75,Advanced,4,Cardio,Upper Body,Rest,Lower Body,Cardio,Rest,Rest
Male,18.0,Gain Muscle Mass,Small Arms,173,69,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Male,18.0,Gain Muscle Mass,Weak Chest,180,79,Beginner,3,Upper Body,Rest,Rest,Lower Body,Upper Body,Rest,Rest
Female,18.0,Increase Strength,Small Legs,163,55,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Cardio,Rest,Rest
Female,22.0,Lose Weight,Big Belly,165,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,25.0,Gain Muscle Mass,Small Arms,178,85,Advanced,5,Chest Day,Rest,Back Day,Rest,Leg Day,Arm Day,Rest
Female,30.0,Increase Strength,Small Legs,160,55,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,27.0,Lose Weight,Big Belly,175,90,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,20.0,Gain Muscle Mass,Weak Chest,168,50,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,35.0,Increase Strength,Small Legs,180,100,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,19.0,Lose Weight,Big Belly,158,52,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,21.0,Gain Muscle Mass,Small Arms,170,72,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Female,29.0,Increase Strength,Small Legs,165,65,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,24.0,Lose Weight,Big Belly,177,88,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,33.0,Gain Muscle Mass,Weak Chest,162,53,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,28.0,Increase Strength,Small Legs,182,98,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,23.0,Lose Weight,Big Belly,159,55,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,26.0,Gain Muscle Mass,Small Arms,174,78,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Female,32.0,Increase Strength,Small Legs,167,60,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,29.0,Lose Weight,Big Belly,176,87,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,24.0,Gain Muscle Mass,Weak Chest,164,54,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,31.0,Increase Strength,Small Legs,179,95,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,27.0,Lose Weight,Big Belly,157,56,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,33.0,Gain Muscle Mass,Small Arms,173,80,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Female,25.0,Increase Strength,Small Legs,161,59,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,22.0,Lose Weight,Big Belly,178,89,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,30.0,Gain Muscle Mass,Weak Chest,166,57,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,36.0,Increase Strength,Small Legs,181,97,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,21.0,Lose Weight,Big Belly,160,53,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,25.0,Gain Muscle Mass,Small Arms,171,74,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
