,Id,Gender,Age,BodyGoal,ProblemAreas,Height_cm,Weight_kg,FitnessLevel,WorkoutDaysPerWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,DDAS0001,Male,18,lose weight,big belly,171,75,advanced,4,cardio,upper body,rest,lower body,cardio,rest,rest
1,DDAS0002,Male,18,gain muscle mass,small arms,173,69,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
2,DDAS0003,Male,18,gain muscle mass,weak chest,180,79,beginner,3,upper body,rest,rest,lower body,upper body,rest,rest
3,DDAS0004,Female,18,increase strength,small legs,163,55,intermediate,4,leg day,back day,rest,leg day,cardio,rest,rest
4,DDAS0005,Female,22,lose weight,big belly,165,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
5,DDAS0006,Male,25,gain muscle mass,small arms,178,85,advanced,5,chest day,rest,back day,rest,leg day,arm day,rest
6,DDAS0007,Female,30,increase strength,small legs,160,55,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
7,DDAS0008,Male,27,lose weight,big belly,175,90,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
8,DDAS0009,Female,20,gain muscle mass,weak chest,168,50,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
9,DDAS0010,Male,35,increase strength,small legs,180,100,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
10,DDAS0011,Female,19,lose weight,big belly,158,52,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
11,DDAS0012,Male,21,gain muscle mass,small arms,170,72,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
12,DDAS0013,Female,29,increase strength,small legs,165,65,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
13,DDAS0014,Male,24,lose weight,big belly,177,88,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
14,DDAS0015,Female,33,gain muscle mass,weak chest,162,53,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
15,DDAS0016,Male,28,increase strength,small legs,182,98,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
16,DDAS0017,Female,23,lose weight,big belly,159,55,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
17,DDAS0018,Male,26,gain muscle mass,small arms,174,78,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
18,DDAS0019,Female,32,increase strength,small legs,167,60,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
19,DDAS0020,Male,29,lose weight,big belly,176,87,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
20,DDAS0021,Female,24,gain muscle mass,weak chest,164,54,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
21,DDAS0022,Male,31,increase strength,small legs,179,95,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
22,DDAS0023,Female,27,lose weight,big belly,157,56,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
23,DDAS0024,Male,33,gain muscle mass,small arms,173,80,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
24,DDAS0025,Female,25,increase strength,small legs,161,59,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
25,DDAS0026,Male,22,lose weight,big belly,178,89,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
26,DDAS0027,Female,30,gain muscle mass,weak chest,166,57,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
27,DDAS0028,Male,36,increase strength,small legs,181,97,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
28,DDAS0029,Female,21,lose weight,big belly,160,53,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
29,DDAS0030,Male,25,gain muscle mass,small arms,171,74,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
30,DDAS0031,Female,28,increase strength,small legs,164,58,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
31,DDAS0032,Male,23,lose weight,big belly,174,86,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
32,DDAS0033,Female,34,gain muscle mass,weak chest,168,56,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
33,DDAS0034,Male,32,increase strength,small legs,183,96,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
34,DDAS0035,Female,22,lose weight,big belly,158,55,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
35,DDAS0036,Male,27,gain muscle mass,small arms,172,79,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
36,DDAS0037,Female,29,increase strength,small legs,163,61,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
37,DDAS0038,Male,30,lose weight,big belly,175,85,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
38,DDAS0039,Female,26,gain muscle mass,weak chest,161,58,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
39,DDAS0040,Male,24,increase strength,small legs,177,94,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
40,DDAS0041,Female,31,lose weight,big belly,159,52,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
41,DDAS0042,Male,28,gain muscle mass,small arms,174,76,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
42,DDAS0043,Female,27,increase strength,small legs,162,60,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
43,DDAS0044,Male,35,lose weight,big belly,178,90,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
44,DDAS0045,Female,25,gain muscle mass,weak chest,167,59,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
45,DDAS0046,Male,26,increase strength,small legs,180,92,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
46,DDAS0047,Female,23,lose weight,big belly,157,54,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
47,DDAS0048,Male,31,gain muscle mass,small arms,176,82,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
48,DDAS0049,Female,33,increase strength,small legs,165,62,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
49,DDAS0050,Male,29,lose weight,big belly,179,88,beginner,4,cardio,rest,upper body,rest,lower body,cardio,rest
50,DDAS0051,Female,28,gain muscle mass,weak chest,164,57,advanced,6,chest day,back day,rest,leg day,arm day,rest,full body
51,DDAS0052,Male,27,increase strength,small legs,182,93,intermediate,4,leg day,back day,rest,leg day,upper body,rest,cardio
52,DDAS0053,Female,22,lose weight,big belly,160,52,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
53,DDAS0054,Male,25,gain muscle mass,small arms,173,75,advanced,5,chest day,back day,rest,leg day,arm day,rest,full body
54,DDAS0055,Female,34,increase strength,small legs,166,61,intermediate,4,leg day,back day,rest,upper body,rest,cardio,rest
55,DDAS0056,Female,15,lose weight,big belly,155,45,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
56,DDAS0057,Male,16,gain muscle mass,small arms,160,50,intermediate,4,chest day,back day,rest,leg day,arm day,rest,rest
57,DDAS0058,Female,17,increase strength,small legs,165,55,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
58,DDAS0059,Male,18,lose weight,big belly,170,60,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
59,DDAS0060,Female,19,gain muscle mass,weak chest,175,65,intermediate,4,chest day,back day,rest,leg day,upper body,rest,rest
60,DDAS0061,Male,20,increase strength,small legs,180,70,advanced,5,leg day,back day,upper body,rest,cardio,rest,full body
61,DDAS0062,Female,21,lose weight,big belly,185,75,beginner,3,cardio,rest,upper body,rest,lower body,rest,rest
